Project Name/Acronym,Jurisdiction Level,Org/Department,OSS License(s),URL,Date Added,Release Date,What it does,Notes
Globus Toolkit,Federal,DARPA,Apache License 2.0,http://www.globus.org/toolkit/about.html,8/19/2011,11/1/1996,"Enabling technology for the ""Grid,"" letting people share computing  power, databases, and other tools securely online across corporate, institutional, and geographic boundaries without sacrificing local  autonomy."," Sponsors now include federal agencies such as DOE, NSF, DARPA, and NASA, along with commercial partners such as IBM and Microsoft. Managed by ""Globus Alliance"": Argonne National Laboratory/University of Chicago; EPCC, University of Edinburgh; National Center for Supercomputing Applications (NCSA); Royal Institute of Technology, Sweden; Univa Corporation; University of Southern California/Information Sciences Institute"
GNAT Ada,Federal,DoD,GPL,http://www.gnu.org/software/gnat/,8/19/2011,,"Ada programming language compiler and related tools, now part of the GNU compiler collection (gcc)",
GRASS GIS,Federal,US Army,GPL,http://grass.osgeo.org/,,10/1/1999,Geo Resources Analysis,
Hone,Federal,PNNL,GPLv2,https://github.com/HoneProject,7/7/2012,4/17/2012,A host-based sensor that automatically pinpoints which applications or processes infected machines and an external network they are using to communicate,http://www.darkreading.com/advanced-threats/167901091/security/application-security/232900471/doe-lab-releases-open-source-attack-intelligence-tool.html
ImageVis3D,Federal,NIH / SCII / CIBC,MIT,http://www.sci.utah.edu/cibc/software/41-imagevis3d.html,5/19/2011,12/16/2008,Volume rendering program.,No license file in package. MIT license found in user documentation.
io-watchdog,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/io-watchdog/,5/12/2011,11/17/2009,Monitoring of applications and parallel jobs for hangs.,
IT Dashboard,,OMB,GPL,http://sourceforge.net/projects/it-dashboard,,3/21/2011,High-level accountability system for IT investments.,
Kuda,Federal,Department of Energy,GPLv2,http://code.google.com/p/kuda/,11/14/2011,2/17/2011,"Kuda is a JavaScript library and World Editor that enables web developers to quickly build interactive 3D web solutions. It is part of DOE's ""National Training and Education Resource"" (NTER), which won the 2011 first place award in the ""Learning Innovation"" category of Chief Learning Officer magazine’s Learning in Practice Awards (http://apps1.eere.energy.gov/news/progress_alerts.cfm/pa_id=639).",
LaunchMON,Federal,DOE / LLNL,LGPL (DOE-customized),http://sourceforge.net/projects/launchmon/,5/12/2011,2/28/2008,Enables co-location of HPC tool daemons with parallel job.,
libopensmskummeeplugin,Federal,DOE / LLNL,GPLv2,https://computing.llnl.gov/linux/skummeeplugin.html,5/12/2011,5/13/2008,OpenSM performance manager plugin.,
lmt,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/lmt,5/12/2011,10/1/2010,Tool for monitoring Lustre file system servers.,
Lustre,Federal,DOE / LLNL,GPLv2,https://github.com/morrone/lustre,5/12/2011,3/1/2004,Parallel file system for Linux compute cluster I/O.,
Map3D,Federal,NIH / SCII / CIBC,MIT (SCII-customized),http://www.sci.utah.edu/cibc/software/107-map3d.html,5/19/2011,7/23/2001,Scientific visualization application which allows manipulation of three-dimensional geometric models ,"License not included in package, but was found on website."
mib,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/mibtest,5/12/2011,7/29/2006,MPI-based I/O benchmark for clusters.,
Military Symbology Renderer-java,Federal,Army Research Lab,Apache-2.0,https://github.com/missioncommand/mil-sym-java,7/9/2014,11/26/2013,"Mil-Symbology Renderer is a software library that generates symbology in accordance with MIL-STD-2525B Change II plus USAS 13-14 and MIL-STD-2525C.  It also supports NATO Allied Procedural Publication 6A (APP-6A), to the extent that APP-6 and MIL-STD-2525 correspond.  This is the java implementation.",
Military Symbology Renderer-javascript,Federal,Army Research Lab,Apache-2.0,https://github.com/missioncommand/mil-sym-js,7/9/2014,11/26/2013,"Mil-Symbology Renderer is a software library that generates symbology in accordance with MIL-STD-2525B Change II plus USAS 13-14 and MIL-STD-2525C.  It also supports NATO Allied Procedural Publication 6A (APP-6A), to the extent that APP-6 and MIL-STD-2525 correspond.  This is the javascript implementation which renders to a data URL or a HTML Canvas element.",
MobileMesh,,MITRE,GPL,http://www.mitre.org/work/tech_transfer/mobilemesh/license.html,,8/15/2000,Mobile ad hoc networking,
munge,Federal,DOE / LLNL,"GPLv3, LGPL",http://code.google.com/p/munge,5/12/2011,3/23/2010,Validatation of credentials to securely authenticate a UID/GID within an administrative domain.,
National Training and Education Resource (NTER),Federal,DOE,GPLv2,https://code.google.com/p/nter/,5/20/2013,4/16/2012,"National Training and Education Resource (NTER) is a sub-internet and search engine for education and training. An easy-to-access, web-based learning platform, NTER invites you to learn from, create, add, distribute, and manage educational content. It's an open source, low cost solution for students, professionals, schools, colleges and universities, and organizations that provide training.",
NiagaraFiles (NiFi),Federal,NSA,Apache-2.0,http://nifi.incubator.apache.org/,1/20/2015,11/24/2014,"Apache NiFi is a dataflow system based on the concepts of flow-based programming. Apache NiFi supports powerful and scalable directed graphs of data routing, transformation, and system mediation logic. ",
NHIN Connect,Federal,HHS,BSD 3-clause,http://www.connectopensource.org,8/31/2011,3/2/2010,,
NIHCL,Federal,NIH,Public Domain,http://www.softwarepreservation.org/projects/c_plus_plus/library/index.html#NIHCL,7/7/2012,5/25/1990,"The NIH Class Library is shared with US Government, research, and commercial communities.",
Object-Oriented Data Technology (OODT),Federal,NASA,Apache,http://oodt.apache.org/,8/19/2011,1/21/2010,Transparent access to distributed resources,This NASA Jet Propulsion Laboratory (JPL) project became a top level open source Apache Software Foundation project in 2011.
OPACITY,Federal,DoD - Defense Manpower Data Center,Apache-2.0,http://opacity.sourceforge.net/,7/30/2012,8/11/2010,"The Open Protocol for Access Control Identification and Ticketing with privacY, is a standard suite of Key Establishment and Authentication protocols based on ECC and AES, for optimized contactless transactions and simple PKI based Key management.  (I.e. API and cryptographic layer for PKI transactions from contactless smartcards)",
OpenSRF,State,GPLS,GPLv2 / GPLv3,http://evergreen-ils.org/opensrf.php,5/25/2011,2/7/2005,Message routing software to use in building loosely-coupled applications.,
OpenSSL (FIPS evaluation),Federal,"Jointly sponsored by Hewlett-Packard (HP) and the Defense Medical Logistics Standard Support (DMLSS) program of the DoD Military Health System, in collaboration with the Open-Source Software Institute (OSSI).  DHS upcoming",OpenSSL,http://www.openssl.org/,8/19/2011,,Toolkit implementing the Secure Sockets Layer (SSL v2/v3) and Transport Layer Security (TLS v1) protocols as well as a full-strength general purpose cryptography library,"Government funded FIPS 140-2 evaluation and development of ""OpenSSL FIPS Object Module"".  See http://www.oss-institute.org/index.php?option=com_content&view=article&id=410:fips-validated-openssl-program-faq"
OpenStack,Federal,NASA,Apache 2.0,http://www.openstack.org/,,10/21/2010,Cloud Computing Infrastructure Software,
OpenVSP,Federal,NASA,NOSA,http://www.openvsp.org/,7/7/2012,1/10/2012,A parametric aircraft geometry tool.,
Opticks,Federal,USAF,LGPL,http://opticks.org,,12/10/2007,Imagery analysis; Nat'l Air & Space Intelligence Center,
OSSIM,Federal,Unknown,,http://www.ossim.org/OSSIM/OSSIM_Home.html,8/19/2011,3/1/2004,"Geo-spatial image processing for remote sensing, photogrammetry, and Geographic Information Systems (GIS)",
Ozone Platform,Federal,DoD & IC,,https://github.com/ozone-development,1/20/2015,7/9/2014,,
Ozone Widget Framework,Federal,NSA,Apache License 2.0,https://www.owfgoss.org/,12/30/2012,12/27/2012,A framework for lightweight application development,
Paraview,Federal,"U.S. Army Research Laboratory, Sandia National Labs, Los Alamos National Laboratory",BSD-style,http://www.paraview.org/,8/19/2011,4/10/2012,Multi-platform data analysis and visualization application,
Pdsh,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/pdsh,5/12/2011,8/14/2001,"High-performance, parallel remote shell utility.",
Petitions,Federal,EOP,GPLv2,https://github.com/WhiteHouse/petitions,12/27/2012,8/23/2012,"White House's ""We the People"" petition system.",
ping,Federal,Army Research Lab,BSD,http://ftp.arl.mil/mike/ping.html,7/4/2012,12/1/1983,"A tool to probe the ""distance"" and responsiveness of a machine on a TCP/IP network by Mike Muuss in 1983. Muuss was a scientist at the Ballistic Research Laboratory at a time when ARPANET was still using NCP instead of TCP/IP.  He was a U.S. government employee and released it to the public domain. More of ping's history is here: http://ftp.arl.mil/mike/ping.html",
PIU,Federal,DOE / LLNL,GPLv2,https://computing.llnl.gov/linux/piu.html,5/12/2011,2/18/2010,Enhanced InfiniBand management utilities.,
PowerMan,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/powerman,5/12/2011,10/12/2005,Centralized manipulation of remote power control (RPC) devices.,
Pynamic,Federal,DOE / LLNL,BSD 3-Clause (DOE-customized),https://computation.llnl.gov/casc/Pynamic/pynamic.htm,5/12/2011,5/1/2007,Python-based scientific application dynamic linking and loading benchmark.,
REDHAWK Software Defined Radio Framework,Federal,DoD,"LGPL3, Eclipse-1.0, Apache-2.0",http://redhawksdr.org,4/9/2013,3/12/2013,"REDHAWK is a software defined radio (SDR) framework designed to support the development, deployment, and management of real-time software radio applications. To support the design and development of software applications, REDHAWK provides tools that allow development and testing of software modules called ""Components"" and composition of Components into ""Waveform Applications"" that can be seamlessly deployed on a single computer or multiple network-enabled computers.",
Ringsail,Federal,GSA,MIT,https://github.com/usagov/ringsail,8/21/2012,8/20/2012,"Ringsail is a registry built in Ruby on Rails to gather, organize, and make available information about social media accounts run by large organizations.",
Rosehill,Local,"City of Bloomington, IN",AGPLv3 (customized),http://code.google.com/p/rosehill/,5/12/2011,12/18/2009,Web interface to track cemetery data.,
rquota,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/rquota,5/12/2011,10/6/2006,Drop-in replacement for the BSD quota utility.,
SCIRun,Federal,NIH / SCII / CIBC,MIT,http://www.sci.utah.edu/cibc/software/106-scirun.html,5/19/2011,2/1/2000,"Modeling, simulation and visualization of scientific problems.",
Scrub (diskscrub),Federal,DOE / LLNL,GPLv2,http://code.google.com/p/diskscrub,5/12/2011,2/14/2006,Writes patterns on disk to reduce the possibility of retrieving the data.,
Seg3D,Federal,NIH / SCII / CIBC,MIT,http://www.sci.utah.edu/cibc/software/42-seg3d.html,5/19/2011,1/16/2007,Free volume segmentation and processing tool.,"No license found in package, but found on website."
seL4,Federal,DARPA,"GPLv2, BSD2",https://github.com/seL4,7/31/2014,7/31/2014,The world's first operating-system kernel with an end-to-end proof of implementation correctness and security enforcement.,
SELinux,Federal,NSA,GPL,http://www.nsa.gov/research/selinux/,,12/22/2000,Secure operating system extensions,
SELinux for Android,Federal,NSA,"BSD, Public Domain",http://selinuxproject.org/page/SEAndroid,7/7/2012,1/6/2012,A version of the SELinux project for the Android platform.,
SFPark,City of San Francisco,SFMTA,GPL-3.0 (Android app); Apache License 2.0 (iPhone app),"http://sfpark.org/, https://github.com/SFpark",11/16/2011,2/1/2011,Check parking availability and pricing for San Francisco meters and garages from your smartphone.,
ShapeWorks,Federal,NIH / SCII / CIBC,"MIT, LGPL",http://www.sci.utah.edu/cibc/software.html,5/19/2011,5/6/2009,Construction of compact statistical point-based models made up of similar shapes.,
Skidder,Local,"City of Bloomington, IN",AGPLv3 (customized),http://code.google.com/p/skidder/,5/12/2011,3/13/2009,Error log notification web service.,
skummee,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/skummee,5/12/2011,3/7/2006,"Monitors hosts in large-scale environments, mostly via SNMP.",
SLURM,Federal,DOE / LLNL,GPLv2 (DOE-customized),http://sourceforge.net/projects/slurm/,5/12/2011,4/11/2003,Cluster management and job scheduling for large Linux clusters.,
SLURM SPANK plugins,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/slurm-spank-plugins/,5/12/2011,10/3/2008,Plugins that enhance the functionality of SLURM.,
sqlog,Federal,DOE / LLNL,GPLv2,http://code.google.com/p/sqlog,5/12/2011,8/3/2007,"Scripts for creating, populating, and issuing queries to SLURM and/or the job queue.",
stat,Federal,DOE / LLNL,BSD 3-clause,https://outreach.scidac.gov/projects/stat,5/12/2011,3/8/2008,Debugging tool that merges stack traces from parallel applications.,
Suricata,Federal,DHS,GPLv2,http://www.openinfosecfoundation.org/index.php/download-suricata,5/12/2011,12/31/2009,Intrusion detection and prevention.,Released through Open Information Security Foundation
TechStat,,Unknown,,,,,"TechStat isn't software, it's a process + a manual.  -kfogel",
Tickets CAD,State,"Department of Public Safety, Asheville (NC) Regional Airport",GPL,http://www.ticketscad.org,8/31/2011,2/28/2010,"Incident response, Computer-Aided Dispatch, Situation Awareness",
Tor (The Onion Router),Federal,U.S. Navy,BSD,http://www.onion-router.net/History.html,7/7/2012,7/1/1996,Onion Routing is a flexible communications infrastructure that is resistant to both eavesdropping and traffic analysis.,The Onion Router (TOR) method was published as a paper on May 31st. The software itself is released to the public as an open source project in July.
VA Enterprise VistA,Federal,VA,Apache-2.0,http://www.osehra.org/,,11/22/2011,Re-release of electronic health records system,Updated 4/9/2013
Virtual World Framework,Federal,DoD - USD(Personnel & Readiness),Apache-2.0,http://virtualworldframework.com/,7/30/2012,3/28/2012,"The Virtual World Framework (VWF) is a means to connect robust 3D, immersive, entities with other entities, worlds, content and users via web browsers. It provides the ability for client-server programs to be delivered in a lightweight manner via web browsers, provides synchronization for multiple users to interact with common objects and environments. For example, using the VWF, a developer can take video lesson plans, objects and avatars and successfully insert them into an existing virtual or created landscape (such as EDGE or Open Sim), interacting with the native objects and users via the VWF interface.",
VistA,Federal,VA,Public Domain,http://en.wikipedia.org/wiki/VistA,8/19/2011,,Electronic health records system,"Released in response to a Freedom Of Information Act request.  There are a variety of related sites, including http://www.hardhats.org and http://sourceforge.net/projects/openvista ."
Voice of Consumer,Federal,HHS,TBD,http://www.hhs.gov/digitalstrategy/people-first/index.html,11/26/2012,12/1/2012,HHS uses this tool to collect feedback from site visitors on their overall experience. It also provides insight into how effective the site content is at meeting visitor needs. It is a Ruby on Rails app.,"Release is announced, but hasn't happened yet."
VSIPL,Federal,DARPA/Ft. Huachuca/Navy,Public domain,http://www.vsipl.org/,8/19/2011,5/7/2000,Vector Signal Image Processing Library,
West Point Bridge Designer and Contest,Federal,DoD - US Military Academy,"Public Domain, GPL with ClassPath exception",http://bridgecontest.usma.edu/,9/20/2013,,,
Whatsup,Federal,DOE / LLNL,GPLv2,http://sourceforge.net/projects/whatsup,5/12/2011,8/18/2003,Cluster node up/down detection utility.,
YACI,Federal,DOE / LLNL,GPLv2,http://www.yaci.org/index.php,5/12/2011,3/13/2003,System management tool set for installing Linux clusters.,
